match_id,date_utc,name,season_slug,group,alt_game_note,status_name,status_desc,completed,home_team_id,home_team,home_abbrev,home_logo,home_color,home_score,home_form,away_team_id,away_team,away_abbrev,away_logo,away_color,away_score,away_form
760415,2026-06-11T19:00Z,South Africa at Mexico,group-stage,A,"FIFA World Cup, Group A",STATUS_FULL_TIME,Full Time,True,203,Mexico,MEX,https://a.espncdn.com/i/teamlogos/countries/500/mex.png,006847,2,WWWWW,467,South Africa,RSA,https://a.espncdn.com/i/teamlogos/countries/500/rsa.png,FFB81C,0,DLWDL
760414,2026-06-12T02:00Z,Czechia at South Korea,group-stage,A,"FIFA World Cup, Group A",STATUS_FULL_TIME,Full Time,True,451,South Korea,KOR,https://a.espncdn.com/i/teamlogos/countries/500/kors.png,ce2028,2,LWWWL,450,Czechia,CZE,https://a.espncdn.com/i/teamlogos/countries/500/cze.png,d7141a,1,DLWWW
760416,2026-06-12T19:00Z,Bosnia-Herzegovina at Canada,group-stage,B,"FIFA World Cup, Group B",STATUS_FULL_TIME,Full Time,True,206,Canada,CAN,https://a.espncdn.com/i/teamlogos/countries/500/can.png,ed2224,1,WDDWD,452,Bosnia-Herzegovina,BIH,https://a.espncdn.com/i/teamlogos/countries/500/bih.png,112855,1,LDDDW
760417,2026-06-13T01:00Z,Paraguay at United States,group-stage,D,"FIFA World Cup, Group D",STATUS_FULL_TIME,Full Time,True,660,United States,USA,https://a.espncdn.com/i/teamlogos/countries/500/usa.png,d42339,4,WLWLL,210,Paraguay,PAR,https://a.espncdn.com/i/teamlogos/countries/500/par.png,ea2300,1,LWLWW
760420,2026-06-13T19:00Z,Switzerland at Qatar,group-stage,B,"FIFA World Cup, Group B",STATUS_FULL_TIME,Full Time,True,4398,Qatar,QAT,https://a.espncdn.com/i/teamlogos/countries/500/qat.png,691a40,1,LDDLL,475,Switzerland,SUI,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,FF0000,1,WDDWD
760419,2026-06-13T22:00Z,Morocco at Brazil,group-stage,C,"FIFA World Cup, Group C",STATUS_FULL_TIME,Full Time,True,205,Brazil,BRA,https://a.espncdn.com/i/teamlogos/countries/500/bra.png,fee000,1,DWWWL,2869,Morocco,MAR,https://a.espncdn.com/i/teamlogos/countries/500/mar.png,df2027,1,DDWWW
760418,2026-06-14T01:00Z,Scotland at Haiti,group-stage,C,"FIFA World Cup, Group C",STATUS_FULL_TIME,Full Time,True,2654,Haiti,HAI,https://a.espncdn.com/i/teamlogos/countries/500/hai.png,0033a0,0,LLWDL,580,Scotland,SCO,https://a.espncdn.com/i/teamlogos/countries/500/sco.png,1a2d69,1,WWWLL
760421,2026-06-14T04:00Z,Türkiye at Australia,group-stage,D,"FIFA World Cup, Group D",STATUS_FULL_TIME,Full Time,True,628,Australia,AUS,https://a.espncdn.com/i/teamlogos/countries/500/aus.png,FFCD00,2,WDLWW,465,Türkiye,TUR,https://a.espncdn.com/i/teamlogos/countries/500/tur.png,ffffff,0,LWWWW
760422,2026-06-14T17:00Z,Curaçao at Germany,group-stage,E,"FIFA World Cup, Group E",STATUS_FULL_TIME,Full Time,True,481,Germany,GER,https://a.espncdn.com/i/teamlogos/countries/500/ger.png,FFFFFF,7,WWWWW,11678,Curaçao,CUW,https://a.espncdn.com/i/teamlogos/soccer/500/11678.png,0537e4,1,LWLLL
760425,2026-06-14T20:00Z,Japan at Netherlands,group-stage,F,"FIFA World Cup, Group F",STATUS_FULL_TIME,Full Time,True,449,Netherlands,NED,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,fb5d00,2,DWLDW,627,Japan,JPN,https://a.espncdn.com/i/teamlogos/countries/500/jpn.png,000555,2,DWWWW
760423,2026-06-14T23:00Z,Ecuador at Ivory Coast,group-stage,E,"FIFA World Cup, Group E",STATUS_FULL_TIME,Full Time,True,4789,Ivory Coast,CIV,https://a.espncdn.com/i/teamlogos/countries/500/civ.png,FF8200,1,WWWWL,209,Ecuador,ECU,https://a.espncdn.com/i/teamlogos/countries/500/ecu.png,ffdd00,0,LWWDD
760424,2026-06-15T02:00Z,Tunisia at Sweden,group-stage,F,"FIFA World Cup, Group F",STATUS_FULL_TIME,Full Time,True,466,Sweden,SWE,https://a.espncdn.com/i/teamlogos/countries/500/swe.png,fecb00,5,WDLWW,659,Tunisia,TUN,https://a.espncdn.com/i/teamlogos/countries/500/tun.png,D20300,1,LLLDW
